,Attention,Mediation,Raw,Delta,Theta,Alpha_1,Alpha_2,Beta_1,Beta_2,Gamma_1,Gamma_2,isConfusedReality
0,0.56,0.43,0.568009768009768,0.07605919456941665,0.03012017148832114,0.02462347248409252,0.023590068354064415,0.026169370888061625,0.027407259292303785,0.016845077705759933,0.0061500687997685655,0.0
1,0.4,0.35,0.4879120879120879,0.018500257932528887,0.009331119079322492,0.0010489410950594656,0.0022007825660259354,0.002568893259347709,0.002239621920215976,0.0026828829331231097,0.002030984003590198,0.0
2,0.47,0.48,0.5247863247863248,0.19118665359976691,0.12757826772857767,0.14744812413272573,0.06107220789233276,0.03398656083912809,0.07933427618276044,0.029019951787194454,0.018805517333461908,0.0
3,0.47,0.57,0.4989010989010989,0.5074881155537729,0.042999416514145794,0.044697883796013436,0.016797930202348092,0.01075601133197537,0.0379611357223039,0.025327692451983644,0.025168475983132002,0.0
4,0.44,0.53,0.4981684981684982,0.2534416019312777,0.11779798090621504,0.02708122103459024,0.08740096232610327,0.04242841422584346,0.06053421516293933,0.022706659805678566,0.02206562496522923,0.0
5,0.44,0.66,0.517948717948718,0.4505300545000713,0.05876384116550884,0.04332265413484988,0.025720048263810698,0.014095666221816393,0.020461696387492883,0.017125938844261484,0.023549919702695987,0.0
6,0.43,0.69,0.5318681318681319,0.16011820751397188,0.0407040396836875,0.06577232941568069,0.06398790061273799,0.03392755964505631,0.03222199059541123,0.0319071434546427,0.04399105417564525,0.0
7,0.4,0.61,0.49963369963369964,0.04052504720354471,0.004023558864745984,0.0014314359689711982,0.0007935797724677971,0.0011931352578960924,0.001935130581809408,0.0016552556267284493,0.0018663096249207226,0.0
8,0.43,0.69,0.5042735042735043,0.12419810731758998,0.0402226222951441,0.046494295789709573,0.067105184229495,0.010082648498045,0.05372722316662483,0.03739154019888416,0.016819039918701296,0.0
9,0.47,0.69,0.4857142857142857,0.020584150960530647,0.03860448802025411,0.03453768121972068,0.02575938307285495,0.03899604317388963,0.017542590801930512,0.01650185931087627,0.031012191096456903,0.0
10,0.48,0.38,0.4967032967032967,0.19088697257842976,0.061899038661340486,0.002365044640217584,0.0037751582980221476,0.017654468403924047,0.02614553470441549,0.023725161659919745,0.00884^6426306361104,0.0
11,0.44,0.48,0.5177045177045178,0.16827165025105853,0.047156628548915565,0.05478144140711397,0.015962065510157723,0.043008124370771,0.020964319814363603,0.03795883914109217,0.023615937809459874,0.0
12,0.47,0.34,0.5296703296703297,0.04160016548042929,0.013997676030700333,0.002303728668063795,0.006149997394068901,0.0068057409098358735,0.011827148593596444,0.005568046722315026,0.006042511210097062,0.0
13,0.48,0.3,0.4874236874236874,0.18596796591506767,0.028013305472299382,0.0016299829264215635,0.03810166278071532,0.020324506567394818,0.017224728586388325,0.04102701894291776,0.018346357692036658,0.0
14,0.47,0.48,0.516971916971917,0.14544518902229067,0.059691101591370394,0.01893130640248242,0.02124276362434864,0.04100770293367048,0.02700309414252261,0.03508330777361781,0.018977609476936316,0.0
15,0.57,0.43,0.5108669108669108,0.05915824444436036,0.02690584599630625,0.0058315869230550245,0.03202443478337829,0.011074430474585001,0.038702611636188156,0.02079183576214002,0.013459534238547899,0.0
16,0.57,0.4,0.5352869352869353,0.1692690734483372,0.04428840492255929,0.005211857633072084,0.014060227492868107,0.02188663341996207,0.039862839111274265,0.02426305636741098,0.012238570151656202,0.0
17,0.7,0.4,0.5062271062271062,0.00828461624810965,0.004891307058184012,0.00801341359886069,0.010231967202636218,0.013404509376975486,0.022554238659217064,0.030609301370592215,0.0269294533478227,0.0
18,0.74,0.44,0.46642246642246643,0.2585550985504066,0.08913702275927302,0.04911336374313571,0.036378798144577056,0.009440191051485566,0.049122171527689565,0.04580419314526452,0.019540617825630602,0.0
19,0.67,0.53,0.5062271062271062,0.19070459094675743,0.03237265961496583,0.04363872337226168,0.03170287271944153,0.01509587694036665,0.03230586246108011,0.02261134952763111,0.010628915188986102,0.0
20,0.7,0.66,0.5304029304029304,0.021860822382237088,0.0023881361201016694,0.00363881096650761,0.00276818718648928,0.0019919926950902576,0.006935230863387925,0.004776160263218598,0.003649540284026214,0.0
21,0.57,0.53,0.5106227106227106,0.20243326862947644,0.027874665243692618,0.002355555263574736,0.007761741194657153,0.025380815246657768,0.010811569698432022,0.009581724761153964,0.009041513520730798,0.0
22,0.53,0.51,0.5086691086691086,0.039664599422584296,0.09439637474088075,0.019896303011855153,0.04713096819682352,0.014168715319238604,0.023238584461703682,0.016019224285869996,0.0075060362061100125,0.0
23,0.41,0.5,0.5291819291819292,0.15452819789037678,0.25209248666377415,0.17984850575165717,0.1298176536589731,0.02494252066212451,0.05095884383240942,0.04792940955789719,0.04163220496767709,0.0
24,0.27,0.37,0.5091575091575091,0.15204927078879424,0.015734169829292984,0.0023453359348824376,0.002762286965132642,0.0017419400154526938,0.004380785563342403,0.003991878347583403,0.0011282420268300553,0.0
25,0.29,0.5,0.525030525030525,0.05911586531002985,0.060817844360551036,0.03941376091004582,0.03073720315740512,0.018384022851256118,0.040809740319333015,0.014887668218838482,0.015897011753448334,0.0
26,0.3,0.35,0.505982905982906,0.047336231763413436,0.04803767556524153,0.0025869500632503453,0.005446887682402885,0.015338437404883987,0.013590888841212933,0.007450931683316392,0.005441672260897624,0.0
27,0.37,0.21,0.48766788766788766,0.15951052099848267,0.05397958963157273,0.009263091507518872,0.003922663831938095,0.005473999672215588,0.013988368552426298,0.01143723336569489,0.007305756556376867,0.0
28,0.3,0.41,0.515018315018315,0.12042863467294282,0.08784637199799852,0.15884267562463822,0.07516980345379291,0.020814310130879633,0.023643357378627383,0.03395884928048345,0.03156110569202182,0.0
29,0.26,0.43,0.5709401709401709,0.18439943343133508,0.02295642806916053,0.01699620351939081,0.00886508258834844,0.004461614104094964,0.00786450682431336,0.009241548183654795,0.0015644065973600175,0.0
30,0.2,0.56,0.494993894993895,0.2771471779406516,0.22388867555360506,0.05454712679924056,0.09166190551582193,0.06276228606213856,0.030506871719196995,0.04483790915612381,0.022959465624223453,0.0
31,0.2,0.67,0.5010989010989011,0.49681538463478897,0.06159881773464526,0.030069644725038012,0.021436487558891583,0.007327386387581653,0.021588496669739943,0.011276017044316744,0.017705462812890593,0.0
32,0.35,0.48,0.46202686202686205,0.3439243330646799,0.1051122337534099,0.04499643418423844,0.01818644896161021,0.17509587694036666,0.10408376976078892,0.030484079888263908,0.014042570552215502,0.0
33,0.48,0.48,0.49474969474969477,0.1607463268263704,0.010114419747422106,0.015707838152111787,0.009866153478524669,0.012037180117534125,0.03210347600261826,0.010440531202709245,0.013117575281040563,0.0
34,0.63,0.51,0.5008547008547009,0.10669527258233975,0.04256653982914337,0.051329498165265525,0.005396735800871463,0.02143335440518836,0.0431058845838041,0.011519869404640292,0.0054750522025198145,0.0
35,0.61,0.53,0.5001221001221001,0.14748745968621782,0.07902060818841772,0.05229449477463825,0.04649374429030662,0.055071527241225916,0.02283016494192481,0.02536267335190532,0.020340994648082693,0.0
36,0.54,0.67,0.5455433455433455,0.2783706231876929,0.02779786454151477,0.050300265775541204,0.012012850682114757,0.041623001100419096,0.01946191943803419,0.044069343296975164,0.024768658460146205,0.0
37,0.51,0.5,0.5098901098901099,0.12099192400008577,0.06873297127288021,0.008503941376091005,0.004919801241209899,0.007390133689213552,0.07405885738561671,0.024262042428282816,0.005163506080712699,0.0
