iteration,learning_rate,success,test,db,tag
1,0.5,67.98200403350879,train,flue,shuffle
1,0.5,69.40180600182487,test,flue,shuffle
2,0.5,70.28951053045063,train,flue,shuffle
2,0.5,71.2005438380601,test,flue,shuffle
3,0.5,72.17763603443319,train,flue,shuffle
3,0.5,73.51629324539117,test,flue,shuffle
4,0.5,74.92932049242987,train,flue,shuffle
4,0.5,76.20936379961067,test,flue,shuffle
5,0.5,77.02721444381126,train,flue,shuffle
5,0.5,77.53852739801913,test,flue,shuffle
6,0.5,78.00212860647022,train,flue,shuffle
6,0.5,78.17670873559783,test,flue,shuffle
7,0.5,78.53968430871599,train,flue,shuffle
7,0.5,78.5851832965926,test,flue,shuffle
8,0.5,78.9120030995107,train,flue,shuffle
8,0.5,78.9005689915868,test,flue,shuffle
9,0.5,79.20634303624821,train,flue,shuffle
9,0.5,79.17373242690797,test,flue,shuffle
10,0.5,79.46053964996376,train,flue,shuffle
10,0.5,79.43163735681365,test,flue,shuffle
11,0.5,79.69703154863748,train,flue,shuffle
11,0.5,79.69272493639986,test,flue,shuffle
12,0.5,79.93229161051796,train,flue,shuffle
12,0.5,79.97039345848482,test,flue,shuffle
13,0.5,80.17963642639175,train,flue,shuffle
13,0.5,80.2727317872175,test,flue,shuffle
14,0.5,80.44956657470223,train,flue,shuffle
14,0.5,80.60302641470436,test,flue,shuffle
15,0.5,80.74960343630647,train,flue,shuffle
15,0.5,80.96284105755991,test,flue,shuffle
16,0.5,81.08393707942324,train,flue,shuffle
16,0.5,81.35183372684929,test,flue,shuffle
17,0.5,81.45106484894407,train,flue,shuffle
17,0.5,81.76287054105006,test,flue,shuffle
18,0.5,81.84113258323671,train,flue,shuffle
18,0.5,82.18083264344568,test,flue,shuffle
19,0.5,82.23785287513219,train,flue,shuffle
19,0.5,82.5876678253891,test,flue,shuffle
20,0.5,82.62404848476595,train,flue,shuffle
20,0.5,82.96774294253635,test,flue,shuffle
21,0.5,82.98577543388036,train,flue,shuffle
21,0.5,83.31054487651107,test,flue,shuffle
22,0.5,83.31400279992145,train,flue,shuffle
22,0.5,83.61167814980212,test,flue,shuffle
23,0.5,83.60500453166375,train,flue,shuffle
23,0.5,83.87227405773622,test,flue,shuffle
24,0.5,83.8596832859359,train,flue,shuffle
24,0.5,84.09708634101428,test,flue,shuffle
25,0.5,84.08201388219273,train,flue,shuffle
25,0.5,84.29237558437505,test,flue,shuffle
26,0.5,84.27733241795464,train,flue,shuffle
26,0.5,84.46444131331997,test,flue,shuffle
27,0.5,84.45110026466128,train,flue,shuffle
27,0.5,84.61892350830358,test,flue,shuffle
28,0.5,84.60827591939012,train,flue,shuffle
28,0.5,84.76060777404166,test,flue,shuffle
29,0.5,84.75311774696809,train,flue,shuffle
29,0.5,84.89346417202358,test,flue,shuffle
30,0.5,84.88920310810985,train,flue,shuffle
30,0.5,85.0207584917184,test,flue,shuffle
31,0.5,85.01952024126255,train,flue,shuffle
31,0.5,85.14515915204008,test,flue,shuffle
32,0.5,85.14655877195776,train,flue,shuffle
32,0.5,85.26880825668906,test,flue,shuffle
33,0.5,85.27236719058521,train,flue,shuffle
33,0.5,85.39334888381013,test,flue,shuffle
34,0.5,85.39856866204663,train,flue,shuffle
34,0.5,85.51991649029472,test,flue,shuffle
35,0.5,85.52634101918274,train,flue,shuffle
35,0.5,85.64911579727065,test,flue,shuffle
36,0.5,85.65637825101611,train,flue,shuffle
36,0.5,85.7810136747505,test,flue,shuffle
37,0.5,85.78885882009264,train,flue,shuffle
37,0.5,85.91517717672319,test,flue,shuffle
38,0.5,85.92344724673549,train,flue,shuffle
38,0.5,86.0507701702982,test,flue,shuffle
39,0.5,86.05934755288297,train,flue,shuffle
39,0.5,86.18669722114328,test,flue,shuffle
40,0.5,86.19541264121582,train,flue,shuffle
40,0.5,86.32176339405152,test,flue,shuffle
41,0.5,86.33029765023703,train,flue,shuffle
41,0.5,86.4548154667702,test,flue,shuffle
42,0.5,86.46263259868338,train,flue,shuffle
42,0.5,86.58484323052221,test,flue,shuffle
43,0.5,86.591183551499,train,flue,shuffle
43,0.5,86.711037241278,test,flue,shuffle
44,0.5,86.71497409014285,train,flue,shuffle
44,0.5,86.83281045273046,test,flue,shuffle
45,0.5,86.83334976128751,train,flue,shuffle
45,0.5,86.94979368291472,test,flue,shuffle
46,0.5,86.94598374102644,train,flue,shuffle
46,0.5,87.06181341128658,test,flue,shuffle
47,0.5,87.05283616012352,train,flue,shuffle
47,0.5,87.16885893966386,test,flue,shuffle
48,0.5,87.15408722810626,train,flue,shuffle
48,0.5,87.27104513984798,test,flue,shuffle
49,0.5,87.25006406758415,train,flue,shuffle
49,0.5,87.36857599751076,test,flue,shuffle
50,0.5,87.34117547881762,train,flue,shuffle
50,0.5,87.46171256364505,test,flue,shuffle
51,0.5,87.4278616206955,train,flue,shuffle
51,0.5,87.55074711275583,test,flue,shuffle
52,0.5,87.5105597483379,train,flue,shuffle
52,0.5,87.63598380650893,test,flue,shuffle
53,0.5,87.58968375401415,train,flue,shuffle
53,0.5,87.71772522819197,test,flue,shuffle
54,0.5,87.66561401160622,train,flue,shuffle
54,0.5,87.79626375065163,test,flue,shuffle
55,0.5,87.73869410974902,train,flue,shuffle
55,0.5,87.87187665580524,test,flue,shuffle
56,0.5,87.8092317256533,train,flue,shuffle
56,0.5,87.94482406068165,test,flue,shuffle
57,0.5,87.87750165792033,train,flue,shuffle
57,0.5,88.01534889554787,test,flue,shuffle
58,0.5,87.94374966590394,train,flue,shuffle
58,0.5,88.08367834383546,test,flue,shuffle
59,0.5,88.00819617713105,train,flue,shuffle
59,0.5,88.15002623724743,test,flue,shuffle
60,0.5,88.07103913040743,train,flue,shuffle
60,0.5,88.21459585652998,test,flue,shuffle
61,0.5,88.13245528486931,train,flue,shuffle
61,0.5,88.2775823833424,test,flue,shuffle
62,0.5,88.19259938228323,train,flue,shuffle
62,0.5,88.33917390188346,test,flue,shuffle
63,0.5,88.25160084682447,train,flue,shuffle
63,0.5,88.39954954306364,test,flue,shuffle
